23:28:04,72.40
23:29:04,75.53
23:30:05,77.80
23:31:06,83.31
23:32:07,74.33
23:33:08,67.59
23:34:09,66.97
23:35:09,65.27
23:36:10,60.75
23:37:11,60.13
23:38:11,62.25
23:39:12,63.08
23:40:13,65.57
23:41:13,66.62
23:42:14,74.41
23:43:14,80.33
23:44:14,80.62
23:45:15,67.72
23:46:15,69.53
23:47:16,66.52
23:48:16,68.78
23:49:17,64.02
23:50:18,64.13
23:51:18,62.68
23:52:19,71.49
23:53:19,66.90
23:54:20,63.03
23:55:21,74.07
23:56:21,67.95
23:57:21,65.40
23:58:22,65.02
23:59:22,64.52
00:00:23,63.05
00:01:23,62.50
00:02:24,60.90
00:03:25,59.61
00:04:25,60.15
00:05:26,59.62
00:06:27,69.39
00:07:27,65.97
00:08:27,62.02
00:09:28,61.92
00:10:28,60.15
00:11:30,60.02
00:12:30,59.72
00:13:31,66.77
00:14:31,68.00
00:15:33,63.16
00:16:34,60.87
00:17:35,65.41
00:18:36,60.39
00:19:37,60.43
00:20:37,71.17
00:21:38,92.69
00:22:39,79.34
00:23:39,66.52
00:24:40,64.61
00:25:41,66.18
00:26:41,61.68
00:27:42,59.52
00:28:42,62.97
00:29:43,63.90
00:30:43,72.60
00:31:44,64.93
00:32:45,63.26
00:33:45,62.40
00:34:46,68.61
00:35:47,62.97
00:36:48,58.74
00:37:48,57.60
00:38:49,57.34
00:39:50,58.64
00:40:51,61.92
00:41:52,57.08
00:42:52,58.68
00:43:53,57.44
00:44:53,57.65
00:45:54,57.98
00:46:55,58.08
00:47:55,57.60
00:48:56,59.25
00:49:57,70.93
00:50:57,58.15
00:51:58,57.89
00:52:58,57.03
00:53:59,56.70
00:55:00,57.54
00:56:00,57.58
00:57:01,58.43
00:58:01,83.98
00:59:02,61.49
01:00:02,58.62
01:01:03,62.10
01:02:04,59.79
01:03:04,64.65
01:04:05,55.28
01:05:06,55.75
01:06:06,58.52
01:07:07,59.18
01:08:08,60.98
01:09:08,59.92
01:10:09,60.30
01:11:10,62.15
01:12:10,58.55
01:13:11,59.98
01:14:11,59.83
01:15:12,58.75
01:16:13,64.21
01:17:13,57.98
01:18:14,62.56
01:19:15,56.57
01:20:15,53.70
01:21:16,55.23
01:22:17,54.39
01:23:17,55.98
01:24:18,75.57
01:25:18,55.77
01:26:19,54.38
01:27:19,54.37
01:28:20,54.61
01:29:21,55.39
01:30:21,55.15
01:31:22,55.49
01:32:22,55.43
01:33:22,54.43
01:34:23,54.93
01:35:23,54.15
01:36:24,54.39
01:37:24,54.15
01:38:25,53.44
01:39:26,54.48
01:40:26,53.45
01:41:26,53.85
01:42:27,53.61
01:43:28,53.21
01:44:29,53.38
01:45:29,53.48
01:46:30,52.79
01:47:31,52.80
01:48:31,52.07
01:49:31,53.35
01:50:32,53.72
01:51:33,54.48
01:52:34,53.87
01:53:34,53.38
01:54:34,53.60
01:55:35,51.67
01:56:35,52.78
01:57:36,53.05
01:58:36,53.38
01:59:37,52.77
02:00:38,51.90
02:01:39,52.30
02:02:39,52.07
02:03:39,52.28
02:04:40,53.05
02:05:41,52.51
02:06:41,52.32
02:07:42,52.56
02:08:42,53.83
02:09:42,79.13
02:10:43,70.11
02:11:44,52.18
02:12:44,47.50
02:13:45,50.59
02:14:46,47.84
02:15:47,49.05
02:16:47,47.58
02:17:48,47.15
02:18:48,49.45
02:19:49,48.07
02:20:50,48.82
02:21:50,48.78
02:22:51,48.57
02:23:52,48.54
02:24:52,49.55
02:25:52,49.32
02:26:53,48.77
02:27:54,48.77
02:28:55,48.79
02:29:55,49.15
02:30:56,48.92
02:31:56,49.77
02:32:57,53.92
02:33:58,70.64
02:34:58,53.93
02:35:58,52.42
02:36:59,52.10
02:38:00,51.85
02:39:01,50.90
02:40:01,50.83
02:41:02,52.46
02:42:03,51.84
02:43:04,59.07
02:44:05,76.74
02:45:06,70.69
02:46:07,70.92
02:47:07,60.59
02:48:08,59.38
02:49:09,55.02
02:50:09,52.30
02:51:10,53.15
02:52:11,55.23
02:53:11,57.93
02:54:12,58.56
02:55:12,58.83
02:56:12,57.75
02:57:13,56.59
02:58:13,56.45
02:59:13,54.27
03:00:14,57.49
03:01:15,56.51
03:02:16,53.33
03:03:17,53.87
03:04:18,53.39
03:05:19,55.16
03:06:19,60.93
03:07:20,64.64
03:08:20,61.03
03:09:21,63.13
03:10:22,55.87
03:11:22,56.20
03:12:23,66.87
03:13:23,69.12
03:14:24,55.16
03:15:25,53.13
03:16:26,50.92
03:17:26,49.98
03:18:27,49.75
03:19:27,49.17
03:20:28,49.41
03:21:28,50.00
03:22:29,50.15
03:23:30,50.79
03:24:30,55.52
03:25:31,49.26
03:26:31,49.95
03:27:32,50.21
03:28:33,49.80
03:29:34,49.84
03:30:34,49.77
03:31:35,49.77
03:32:35,50.98
03:33:36,50.20
03:34:37,49.62
03:35:37,51.47
03:36:38,49.21
03:37:39,49.48
03:38:39,49.33
03:39:40,50.52
03:40:40,49.92
03:41:41,50.52
03:42:42,50.85
03:43:42,56.33
03:44:43,49.72
03:45:43,49.20
03:46:44,49.10
03:47:45,49.62
03:48:46,49.97
03:49:47,50.36
03:50:48,49.43
03:51:48,49.42
03:52:49,50.11
03:53:50,50.67
03:54:50,50.18
03:55:51,49.95
03:56:51,50.73
03:57:51,54.02
03:58:52,49.51
03:59:52,49.35
04:00:53,50.44
04:01:54,59.57
04:02:55,62.21
04:03:56,50.18
04:04:57,48.90
04:05:57,50.25
04:06:58,48.74
04:07:59,49.08
04:08:59,50.30
04:10:00,49.02
04:11:00,49.27
04:12:01,49.11
04:13:01,48.33
04:14:02,56.61
04:15:03,47.77
04:16:04,48.75
04:17:04,61.12
04:18:05,53.75
04:19:06,49.64
04:20:06,48.00
04:21:07,49.57
04:22:07,49.98
04:23:08,50.72
04:24:09,52.44
04:25:10,53.82
04:26:10,54.27
04:27:11,55.46
04:28:11,54.93
04:29:11,53.97
04:30:12,57.21
04:31:12,53.52
04:32:13,55.38
04:33:13,53.70
04:34:14,56.30
04:35:15,57.10
04:36:16,54.30
04:37:17,56.25
04:38:18,53.03
04:39:19,52.05
04:40:19,57.67
04:41:20,53.02
04:42:21,53.80
04:43:22,55.13
04:44:23,54.56
04:45:23,55.25
04:46:24,57.20
04:47:25,53.08
04:48:26,53.80
04:49:27,53.30
04:50:27,56.10
04:51:28,56.15
04:52:28,57.55
04:53:29,57.45
04:54:29,58.52
04:55:29,54.53
04:56:30,63.15
04:57:30,54.13
04:58:32,52.44
04:59:32,50.69
05:00:33,55.50
05:01:34,51.64
05:02:35,50.46
05:03:36,49.46
05:04:37,50.21
05:05:37,49.70
05:06:38,49.74
05:07:38,49.95
05:08:38,50.45
05:09:38,50.28
05:10:39,55.89
05:11:40,49.97
05:12:40,49.10
05:13:40,49.92
05:14:41,49.56
05:15:41,50.28
05:16:42,50.33
05:17:42,51.87
05:18:43,62.05
05:19:43,48.12
05:20:44,49.28
05:21:45,47.67
05:22:46,47.59
05:23:46,48.37
05:24:47,47.89
05:25:47,47.33
05:26:48,48.20
05:27:49,47.66
05:28:49,48.08
05:29:50,48.69
05:30:50,47.85
05:31:51,48.25
05:32:52,48.80
05:33:52,48.43
05:34:52,48.45
05:35:53,47.82
05:36:54,50.80
05:37:54,50.78
05:38:54,49.33
05:39:55,48.52
05:40:55,49.27
05:41:56,50.21
05:42:57,49.85
05:43:57,49.88
05:44:57,49.97
05:45:58,49.72
05:46:59,48.51
05:47:59,48.98
05:49:00,49.23
05:50:01,49.72
05:51:01,48.53
05:52:02,49.43
05:53:02,48.95
05:54:03,50.36
05:55:03,49.12
05:56:04,50.30
05:57:05,50.11
05:58:06,50.67
05:59:07,50.75
06:00:08,50.15
06:01:09,79.16
06:02:10,75.34
06:03:10,54.18
06:04:11,59.57
06:05:11,59.45
06:06:12,58.59
06:07:13,56.36
06:08:13,57.88
06:09:14,53.80
06:10:15,51.62
06:11:16,55.44
06:12:16,53.53
06:13:17,57.26
06:14:17,54.53
06:15:18,53.62
06:16:19,58.97
06:17:19,58.53
06:18:20,55.10
06:19:20,55.17
06:20:21,58.11
06:21:21,57.82
06:22:22,57.41
06:23:22,58.08
06:24:23,60.39
06:25:24,61.93
